"year","zone","ratio"
"2011","S01001831","28.69"
"2012","S01001831","28.69"
"2003","S01001831","28.69"
"2004","S01001832","28.17"
"2005","S01001832","28.17"
"2006","S01001832","28.17"
"2007","S01001832","28.17"
"2008","S01001832","28.17"
"2009","S01001832","28.17"
"2010","S01001832","28.17"
"2011","S01001832","28.17"
"2012","S01001832","28.17"
"2003","S01001832","28.17"
"2004","S01001833","12.08"
"2005","S01001833","12.25"
"2006","S01001833","12.47"
"2007","S01001833","12.45"
"2008","S01001833","12.47"
"2009","S01001833","12.45"
"2010","S01001833","12.45"
"2011","S01001833","12.45"
"2012","S01001833","12.47"
"2003","S01001833","11.93"
"2004","S01001834","27.54"
"2005","S01001834","27.54"
"2006","S01001834","27.54"
"2007","S01001834","28.34"
"2008","S01001834","28.34"
"2009","S01001834","29.35"
"2010","S01001834","29.35"
"2011","S01001834","29.65"
"2012","S01001834","29.65"
"2003","S01001834","29.15"
"2004","S01001835","10.71"
"2005","S01001835","10.67"
"2006","S01001835","10.63"
"2007","S01001835","10.63"
"2008","S01001835","10.63"
"2009","S01001835","10.63"
"2010","S01001835","10.63"
"2011","S01001835","10.63"
"2012","S01001835","10.67"
"2003","S01001835","10.71"
"2004","S01001836","13.15"
"2005","S01001836","13.15"
"2006","S01001836","14.29"
"2007","S01001836","15.22"
"2008","S01001836","15.22"
"2009","S01001836","15.22"
"2010","S01001836","15.22"
"2011","S01001836","15.34"
"2012","S01001836","15.43"
"2003","S01001836","13.06"
"2004","S01001837","12.72"
"2005","S01001837","12.72"
"2006","S01001837","12.72"
"2007","S01001837","14.22"
"2008","S01001837","14.22"
"2009","S01001837","14.22"
"2010","S01001837","14.22"
"2011","S01001837","14.22"
"2012","S01001837","14.22"
"2003","S01001837","12.02"
"2004","S01001838","20.69"
"2005","S01001838","20.69"
"2006","S01001838","20.69"
"2007","S01001838","21.35"
"2008","S01001838","23.25"
"2009","S01001838","23.25"
"2010","S01001838","23.25"
"2011","S01001838","23.25"
"2012","S01001838","23.33"
"2003","S01001838","20.69"
"2004","S01001839","21.64"
"2005","S01001839","21.64"
"2006","S01001839","21.64"
"2007","S01001839","21.64"
"2008","S01001839","21.64"
"2009","S01001839","21.64"
"2010","S01001839","21.69"
"2011","S01001839","21.69"
"2012","S01001839","21.69"
"2003","S01001839","22.43"
"2004","S01001840","2.42"
"2005","S01001840","2.42"
"2006","S01001840","2.42"
"2007","S01001840","2.42"
"2008","S01001840","2.42"
"2009","S01001840","2.42"
"2010","S01001840","2.42"
"2011","S01001840","2.43"
"2012","S01001840","2.43"
"2003","S01001840","2.41"
"2004","S01001841","38.14"
"2005","S01001841","38.14"
"2006","S01001841","38.14"
"2007","S01001841","38.14"
"2008","S01001841","38.14"
"2009","S01001841","38.14"
"2010","S01001841","38.14"
"2011","S01001841","38.14"
"2012","S01001841","38.14"
"2003","S01001841","38.14"
"2004","S01001842","21.82"
"2005","S01001842","21.82"
"2006","S01001842","21.82"
"2007","S01001842","21.82"
"2008","S01001842","21.82"
"2009","S01001842","21.82"
"2010","S01001842","21.82"
"2011","S01001842","21.82"
"2012","S01001842","21.82"
"2003","S01001842","22.63"
"2004","S01001843","44.51"
"2005","S01001843","44.51"
"2006","S01001843","44.51"
"2007","S01001843","44.51"
"2008","S01001843","44.51"
"2009","S01001843","44.4"
"2010","S01001843","46.63"
"2011","S01001843","47.21"
"2012","S01001843","47.21"
"2003","S01001843","44.51"
"2004","S01001844","0.6"
"2005","S01001844","0.6"
"2006","S01001844","0.58"
"2007","S01001844","0.55"
"2008","S01001844","0.55"
"2009","S01001844","0.55"
"2010","S01001844","0.55"
"2011","S01001844","0.55"
"2012","S01001844","0.55"
"2003","S01001844","0.56"
"2004","S01001845","2.81"
"2005","S01001845","2.81"
"2006","S01001845","2.82"
"2007","S01001845","2.82"
"2008","S01001845","2.81"
"2009","S01001845","2.81"
"2010","S01001845","2.81"
"2011","S01001845","2.81"
"2012","S01001845","2.82"
"2003","S01001845","2.81"
"2004","S01001846","24.24"
"2005","S01001846","24.24"
"2006","S01001846","24.16"
"2007","S01001846","24.24"
"2008","S01001846","24.24"
"2009","S01001846","24.24"
"2010","S01001846","24.24"
"2011","S01001846","24.24"
"2012","S01001846","24.24"
"2003","S01001846","24.24"
"2004","S01001847","17.42"
"2005","S01001847","17.42"
"2006","S01001847","18.86"
"2007","S01001847","18.86"
"2008","S01001847","20.63"
"2009","S01001847","20.63"
